FECHA,MES,RANGO HORARIO,DIA SEMANA,DISTRITO,LUGAR DEL ACCIDENTE,NUM PARTE,NUM VICTIMAS,TIPO ACCIDENTE,TIPO PERSONA,SEXO,LESIVIDAD,Tramo Edad
2018-01-01,ENERO,DE 13:00 A 13:59,LUNES,ARGANZUELA,CALLE DE ANCORA - PASEO DE LAS DELICIAS 0,2018/25,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 30 A 34 
2018-01-01,ENERO,DE 15:00 A 15:59,LUNES,CENTRO,CALLE DE ALCALA NUM44,2018/76,2,ATROPELLO                               ,CONDUCTOR,HOMBRE,HL                                      ,DE 25 A 29 
2018-01-02,ENERO,DE 12:00 A 12:59,MARTES,SALAMANCA,CALLE DE SERRANO - CALLE DEL CONDE DE ARANDA  0,2018/30,2,ATROPELLO                               ,CONDUCTOR,HOMBRE,HL                                      ,DE 40 A 44 
2018-01-03,ENERO,DE 13:00 A 13:59,MIERCOLES,SALAMANCA,PLAZA DE LA INDEPENDENCIA NUM  5,2018/94,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 50 A 54 
2018-01-03,ENERO,DE 15:00 A 15:59,MIERCOLES,CIUDAD LINEAL,CALLE DE RAMIREZ DE ARELLANO NUM  35,2018/361,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 25 A 29 
2018-01-03,ENERO,DE 22:00 A 22:59,MIERCOLES,LATINA,CALLE DE SEGOVIA - PASEO DE EXTREMADURA 0,2018/115,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 18 A 20 
2018-01-04,ENERO,DE 8:00 A 8:59,JUEVES,LATINA,CALLE DE LOS YEBENES - CALLE DE SEPULVEDA  0,2018/347,1,CAIDA MOTOCICLETA                       ,CONDUCTOR,HOMBRE,IL                                      ,DE 35 A 39 
2018-01-04,ENERO,DE 9:00 A 9:59,JUEVES,SAN BLAS,AVENIDA DE CANILLEJAS A VICALVARO - CALLE DE LOS HERM GARCIA NOBLEJAS0,2018/128,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 45 A 49 
2018-01-04,ENERO,DE 15:00 A 15:59,JUEVES,VILLA DE VALLECAS,CALLE DE LA SIERRA DE TORNAVACAS - CALLE DE SAN JAIME  0,2018/156,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 35 A 39 
2018-01-04,ENERO,DE 20:00 A 20:59,JUEVES,CIUDAD LINEAL,CALLE DE GERMAN PEREZ CARRASCO - CALLE DEL DOCTOR VALLEJO 0,2018/374,1,ATROPELLO                               ,CONDUCTOR,HOMBRE,IL                                      ,DE 21 A 24 
2018-01-05,ENERO,DE 16:00 A 16:59,VIERNES,RETIRO,PASEO DEL FERNAN NUEZ0,2018/148,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 45 A 49 
2018-01-07,ENERO,DE 16:00 A 16:59,DOMINGO,FUENCARRAL-EL PARDO,CARRETERA DE COLMENAR NUM14,2018/271,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 55 A 59 
2018-01-09,ENERO,DE 15:00 A 15:59,MARTES,ARGANZUELA,CALLE DE LA BATALLA DEL SALADO NUM1,2018/372,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 40 A 44 
2018-01-11,ENERO,DE 14:00 A 14:59,JUEVES,CENTRO,RONDA DE ATOCHA NUM2,2018/570,1,COLISION DOBLE                          ,CONDUCTOR,MUJER,HL                                      ,DE 25 A 29 
2018-01-11,ENERO,DE 20:00 A 20:59,JUEVES,RETIRO,CALLE DE ALCALA - CALLE DE VELAZQUEZ 0,2018/418,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HG                                      ,DE 40 A 44 
2018-01-12,ENERO,DE 11:00 A 11:59,VIERNES,USERA,PARQUE DE MADRID RIO (RIBERA OESTE) KM. 6600,2018/519,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 65 A 69 
2018-01-13,ENERO,DE 1:00 A 1:59,SABADO,SALAMANCA,CALLE DE GOYA NUM  66,2018/594,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 40 A 44 
2018-01-15,ENERO,DE 9:00 A 9:59,LUNES,SALAMANCA,CALLE DE GOYA NUM  5,2018/564,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 35 A 39 
2018-01-15,ENERO,DE 16:00 A 16:59,LUNES,TETUAN,CALLE DE LA INFANTA MERCEDES - CALLE DE SOR ANGELA DE LA CRUZ0,2018/684,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 40 A 44 
2018-01-16,ENERO,DE 16:00 A 16:59,MARTES,CENTRO,CALLE DE SEVILLA NUM  6,2018/686,1,COLISION DOBLE                          ,CONDUCTOR,MUJER,HL                                      ,DE 21 A 24 
2018-01-17,ENERO,DE 1:00 A 1:59,MIERCOLES,CHAMBERI,CALLE DE GENOVA NUM23,2018/607,1,COLISION DOBLE                          ,CONDUCTOR,MUJER,HL                                      ,DE 30 A 34 
2018-01-18,ENERO,DE 15:00 A 15:59,JUEVES,MONCLOA-ARAVACA,PASEO DE MARIA TERESA NUM7,2018/738,1,CHOQUE CON OBJETO FIJO                  ,CONDUCTOR,HOMBRE,HL                                      ,DE 60 A 64 
2018-01-18,ENERO,DE 17:00 A 17:59,JUEVES,SAN BLAS,AVENIDA DE LUIS ARAGONÉS - CALLE DE SAN HILARIO  0,2018/701,1,CAIDA BICICLETA                         ,CONDUCTOR,MUJER,HG                                      ,DE 55 A 59 
2018-01-18,ENERO,DE 21:00 A 21:59,JUEVES,CHAMBERI,CALLE DE GENOVA NUM7,2018/735,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 25 A 29 
2018-01-19,ENERO,DE 16:00 A 16:59,VIERNES,CENTRO,CALLE DE CARRANZA NUM 7,2018/773,2,COLISION MÚLTIPLE                       ,CONDUCTOR,HOMBRE,HL                                      ,DE 25 A 29 
2018-01-20,ENERO,DE 8:00 A 8:59,SABADO,VILLA DE VALLECAS,AVENIDA DE LA GAVIA - AVENIDA DEL MAYORAZGO0,2018/867,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 35 A 39 
2018-01-20,ENERO,DE 17:00 A 17:59,SABADO,HORTALEZA,CALLE DE FRANCISCO UMBRAL - GLORIETA DE ISIDRO GONZALEZ VELAZQUEZ  0,2018/805,1,COLISION DOBLE                          ,CONDUCTOR,MUJER,HL                                      ,DE 30 A 34 
2018-01-21,ENERO,DE 12:00 A 12:59,DOMINGO,LATINA,CARRETERA DE LA VENTA DE LA RUBIA  ,2018/832,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 50 A 54 
2018-01-21,ENERO,DE 13:00 A 13:59,DOMINGO,LATINA,CALLE  VIA CARPETANA NUM 138,2018/830,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 25 A 29 
